        2000     0.000000
   25.000000    25.000000    25.000000
   -3.444668     2.845297    11.618397
   -1.642177     6.005384     7.600513
   -1.715379     2.552057   -14.386611
  -14.679667   -11.119618    15.515788
   18.932548   -11.043582   -10.978139
   -9.649736    15.176919     0.259571
   -5.350799    15.779693    -3.847748
   14.590381    21.166850    -2.999502
   -6.007089   -14.783693    10.205522
  -15.517097   -16.157697    -7.071532
    6.825733    -2.997551   -14.814223
    1.443024     9.702026    -9.982385
    7.081395     1.418333   -11.736147
  -18.877843   -11.264650     7.196712
    0.781710   -13.192514    -0.107314
    9.865293    13.002521     7.570954
    3.623440    -7.512645    -0.926110
   12.329423     6.002023    19.824951
   12.859697    -0.107373    -8.444898
   -7.269262    -4.580118     3.549478
    0.486288    -0.822278     4.016131
    2.131907     3.389534    -0.345438
   -1.898850    -2.628418    -5.488210
   -5.810687     5.073223     2.581742
   -7.611565    15.125706   -11.259288
   -0.632455   -15.450373    -3.607227
   -5.320666     1.662924    -0.081338
    0.553935   -18.887692   -16.889862
  -23.529695   -14.131235     0.201296
    4.340650     6.626566   -11.392390
  -16.654158    17.029136     0.504643
    7.008926     4.281655     8.869179
    3.550758     7.352963   -12.801332
   -8.318497     1.189131     7.561599
    9.751231   -14.839811   -11.301977
   10.025815    -5.197467    -4.330928
   -7.868054   -22.125803     2.998140
   -8.416684    -0.969513   -13.343749
   13.800845     9.878819    15.673565
    3.714638    -6.768098    -8.103645
    7.390771    -7.802825     7.264536
   -7.444240    -8.444117     4.756260
   13.005060     1.422189     4.437245
   22.572546    -8.088078   -16.524284
  -13.737600    17.949762     6.881225
   18.983541     5.683641    -9.257557
    2.399025    -9.488705     6.532002
   16.781212    13.434989     5.942571
   17.591086    -3.491868     9.340802
  -14.188423   -10.555023    -2.464800
   12.970277    15.859226     7.143803
    5.739871     1.081197    -6.786652
  -12.869067    -6.196296   -16.669325
    9.895334     8.497590    -1.767290
   -8.517527   -15.431354     1.024380
   13.254213    20.362899    -2.897859
   -7.568339     4.008249     8.318496
  -10.017398   -10.078178     7.721093
   -7.885985   -10.467645    -1.948027
  -12.058615     6.313234    -6.195503
    9.220161    13.875005    -0.123059
  -13.185596    14.769597   -12.794856
    6.944191   -23.689275     8.211175
    5.995094     4.226623    10.842983
   -4.803562     6.742427   -17.415810
    5.021839    -2.506530     5.903937
    6.860416     2.692773   -11.729450
   -0.634631     2.176117     4.317292
    9.745231     0.511047    -6.001905
    6.445310     4.870387     1.513158
    7.871667     1.668954     1.998144
   -4.076767     1.245570    -1.443845
    0.496963    12.331649     3.887994
   -7.151060    -6.833189     2.950679
    3.525193     0.183509     6.921610
   17.126739    -0.472558    -5.649518
   -7.416628     5.460682   -18.143702
   -5.301626    21.695714    16.024072
    3.588167    10.102467    -3.671850
   -0.021657   -18.891132    15.531680
    2.092461    -9.345760     4.299165
   14.144996     3.620795    -3.773808
   -9.978138    -9.094481     0.734877
   12.026722    13.167295     7.084805
  -16.898037     5.697178   -13.960163
  -11.901348    18.718836    -7.340792
   -5.118413     2.873353    -1.022323
  -10.021970   -11.665077     0.010688
   20.789033    11.952865   -15.726732
    5.027669     1.024304   -15.022611
