2000 1
25 25 25
  0.282822   9.939087   4.898007
  6.880733  10.776514   2.971683
 -4.093329  -7.119213  -9.789231
-10.509448  -2.877930  11.266545
 10.971498  -3.695495  -8.358847
 -8.619836  11.338239  -9.235879
-11.780559   8.491993   7.518852
  4.496277  10.757228   0.569622
 -5.622915  -8.915484   5.238114
 -5.192874 -12.224367 -10.153621
 11.288073 -10.463691  -7.127753
 -4.776426  10.805256  -0.523635
  0.202535   3.112013  -0.028087
 -8.619065  -5.510573   2.229561
 -6.934350  -3.533924  -9.742864
  1.608510   6.999120   3.738884
  3.951570  -4.882895   4.110080
 10.032486   1.866189  10.835082
  4.681867 -10.444443  -9.987558
-10.931102  -5.107418  -4.844002
 -5.780272  -7.224888  -0.558969
  4.850477  11.628864  -7.278368
-12.265690 -10.846858 -10.436480
 -3.822437   8.040493   2.519822
 -0.039796   7.708037  -0.833272
 11.268565  -7.995593   4.161823
  3.202874  -2.416446  -8.759918
 -6.819692 -10.442846  -4.889203
-12.392475  -3.928515  -2.206724
  9.671840   2.429076 -10.666060
-11.303135   5.301531  12.224569
  2.064616   6.072645  -2.449961
 -7.076252  11.579043 -11.350172
-11.099787   2.422541  -2.662351
  7.577083  -4.094527  -6.974251
 10.701415  -6.369927  -9.658798
  0.930966 -11.550473  -8.552340
 -9.583874 -12.081773  -5.765669
  8.655136  -0.757251   7.639796
 -4.433202  -0.811488  -3.239655
  2.342231   4.331345   3.556676
  2.941170  -1.287097   8.218910
  2.228425   4.731062   3.100403
 11.678169  -0.707204  -6.224815
 -4.375795   9.387231   4.983308
 11.795608  -0.690943  -6.503897
  9.154105  -3.582975   4.982342
  5.715965   4.665380  -3.148705
  6.527066 -11.666628   4.414762
 -4.389703  -3.200487   4.125551
  2.364904   4.867123  10.848864
 10.712261  -0.981403   3.205448
-11.892327  -1.031516 -10.173965
 -1.207866  -0.055290  -0.738770
 -0.900747  -6.957974   8.717020
  2.512900   8.310288   1.309909
 -2.620599   6.148929   2.329746
 -6.253698  -0.078528   8.494723
 -9.559755  -0.426075  -1.047137
-12.014183   6.581990  -6.234468
 -2.475919   6.517695   1.523661
